TC2004_ID,NAME,TotalOfPremise,Comparison_Prop,Convenience_Prop,Leisure_Prop,Services_Prop,Vacant_Prop
TC1284,Uppingham,6,0.333333333,0.166666667,0,0.166666667,0.333333333
TC1285,Upton Park,193,0.481865285,0.103626943,0.093264249,0.233160622,0.088082902
RC0613,Upton Park Retail Core,126,0.515873016,0.079365079,0.095238095,0.238095238,0.071428571
TC1286,Urmston,101,0.316831683,0.069306931,0.158415842,0.336633663,0.118811881
TC1287,Uttoxeter,189,0.291005291,0.063492063,0.148148148,0.306878307,0.19047619
RC0614,Uttoxeter Retail Core,100,0.31,0.08,0.09,0.29,0.23
TC1288,Uxbridge,354,0.423728814,0.070621469,0.155367232,0.271186441,0.079096045
RC0615,Uxbridge Retail Core,320,0.453125,0.065625,0.134375,0.26875,0.078125
TC1289,Ventnor,10,0.5,0,0,0.1,0.4
TC1290,"Ventura Road Retail Park, Bitterscote",44,0.818181818,0.090909091,0.045454545,0.045454545,0
RC0616,"Ventura Road Retail Park, Bitterscote Retail Core",30,0.866666667,0.033333333,0.033333333,0.066666667,0
RC0617,Victoria Retail Core,264,0.352272727,0.068181818,0.34469697,0.15530303,0.079545455
TC1291,Wadebridge,2,0,0.5,0,0.5,0
RC0618,Wadebridge Retail Core,2,0,0.5,0,0.5,0
TC1292,Wakefield,727,0.334250344,0.07565337,0.19394773,0.229711142,0.166437414
RC0619,Wakefield Retail Core,461,0.32537961,0.091106291,0.156182213,0.247288503,0.180043384
TC1293,Walkden,103,0.349514563,0.058252427,0.048543689,0.184466019,0.359223301
TC1294,Wallasey,67,0.358208955,0.089552239,0.119402985,0.179104478,0.253731343
RC0620,Wallasey Retail Core,40,0.425,0.025,0.075,0.25,0.225
TC1295,Wallingford,24,0.208333333,0,0.083333333,0.291666667,0.416666667
RC0621,Wallingford Retail Core,13,0.230769231,0,0.076923077,0.153846154,0.538461538
TC1296,Wallington,158,0.246835443,0.082278481,0.170886076,0.360759494,0.139240506
RC0622,Wallington Retail Core,53,0.358490566,0.056603774,0.056603774,0.358490566,0.169811321
TC1297,Wallsend,77,0.376623377,0.116883117,0.064935065,0.246753247,0.194805195
RC0623,Wallsend Retail Core,54,0.388888889,0.12962963,0.055555556,0.222222222,0.203703704
TC1298,Walsall,495,0.264646465,0.062626263,0.141414141,0.244444444,0.286868687
